"","state","date","confirmed"
"315","Maryland",0020-01-27,0
"316","Massachusetts",0020-01-27,0
"317","Michigan",0020-01-27,0
"318","Minnesota",0020-01-27,0
"319","Mississippi",0020-01-27,0
"320","Missouri",0020-01-27,0
"321","Montana",0020-01-27,0
"322","Nebraska",0020-01-27,0
"323","Nevada",0020-01-27,0
"324","New Hampshire",0020-01-27,0
"325","New Jersey",0020-01-27,0
"326","New Mexico",0020-01-27,0
"327","New York",0020-01-27,0
"328","North Carolina",0020-01-27,0
"329","North Dakota",0020-01-27,0
"330","Northern Mariana Islands",0020-01-27,0
"331","Ohio",0020-01-27,0
"332","Oklahoma",0020-01-27,0
"333","Oregon",0020-01-27,0
"334","Pennsylvania",0020-01-27,0
"335","Puerto Rico",0020-01-27,0
"336","Rhode Island",0020-01-27,0
"337","South Carolina",0020-01-27,0
"338","South Dakota",0020-01-27,0
"339","Tennessee",0020-01-27,0
"340","Texas",0020-01-27,0
"341","Utah",0020-01-27,0
"342","Vermont",0020-01-27,0
"343","Virgin Islands",0020-01-27,0
"344","Virginia",0020-01-27,0
"345","Washington",0020-01-27,1
"346","West Virginia",0020-01-27,0
"347","Wisconsin",0020-01-27,0
"348","Wyoming",0020-01-27,0
"349","Alabama",0020-01-28,0
"350","Alaska",0020-01-28,0
"351","American Samoa",0020-01-28,0
"352","Arizona",0020-01-28,1
"353","Arkansas",0020-01-28,0
"354","California",0020-01-28,2
"355","Colorado",0020-01-28,0
"356","Connecticut",0020-01-28,0
"357","Delaware",0020-01-28,0
"358","Diamond Princess",0020-01-28,0
"359","District of Columbia",0020-01-28,0
"360","Florida",0020-01-28,0
"361","Georgia",0020-01-28,0
"362","Grand Princess",0020-01-28,0
"363","Guam",0020-01-28,0
"364","Hawaii",0020-01-28,0
"365","Idaho",0020-01-28,0
"366","Illinois",0020-01-28,1
"367","Indiana",0020-01-28,0
"368","Iowa",0020-01-28,0
"369","Kansas",0020-01-28,0
"370","Kentucky",0020-01-28,0
"371","Louisiana",0020-01-28,0
"372","Maine",0020-01-28,0
"373","Maryland",0020-01-28,0
"374","Massachusetts",0020-01-28,0
"375","Michigan",0020-01-28,0
"376","Minnesota",0020-01-28,0
"377","Mississippi",0020-01-28,0
"378","Missouri",0020-01-28,0
"379","Montana",0020-01-28,0
"380","Nebraska",0020-01-28,0
"381","Nevada",0020-01-28,0
"382","New Hampshire",0020-01-28,0
"383","New Jersey",0020-01-28,0
"384","New Mexico",0020-01-28,0
"385","New York",0020-01-28,0
"386","North Carolina",0020-01-28,0
"387","North Dakota",0020-01-28,0
"388","Northern Mariana Islands",0020-01-28,0
"389","Ohio",0020-01-28,0
"390","Oklahoma",0020-01-28,0
"391","Oregon",0020-01-28,0
"392","Pennsylvania",0020-01-28,0
"393","Puerto Rico",0020-01-28,0
"394","Rhode Island",0020-01-28,0
"395","South Carolina",0020-01-28,0
"396","South Dakota",0020-01-28,0
"397","Tennessee",0020-01-28,0
"398","Texas",0020-01-28,0
"399","Utah",0020-01-28,0
"400","Vermont",0020-01-28,0
"401","Virgin Islands",0020-01-28,0
"402","Virginia",0020-01-28,0
"403","Washington",0020-01-28,1
"404","West Virginia",0020-01-28,0
"405","Wisconsin",0020-01-28,0
"406","Wyoming",0020-01-28,0
"407","Alabama",0020-01-29,0
"408","Alaska",0020-01-29,0
"409","American Samoa",0020-01-29,0
"410","Arizona",0020-01-29,1
"411","Arkansas",0020-01-29,0
"412","California",0020-01-29,2
"413","Colorado",0020-01-29,0
"414","Connecticut",0020-01-29,0
"415","Delaware",0020-01-29,0
"416","Diamond Princess",0020-01-29,0
"417","District of Columbia",0020-01-29,0
"418","Florida",0020-01-29,0
"419","Georgia",0020-01-29,0
"420","Grand Princess",0020-01-29,0
"421","Guam",0020-01-29,0
"422","Hawaii",0020-01-29,0
"423","Idaho",0020-01-29,0
"424","Illinois",0020-01-29,1
"425","Indiana",0020-01-29,0
"426","Iowa",0020-01-29,0
"427","Kansas",0020-01-29,0
"428","Kentucky",0020-01-29,0
"429","Louisiana",0020-01-29,0
"430","Maine",0020-01-29,0
"431","Maryland",0020-01-29,0
"432","Massachusetts",0020-01-29,0
"433","Michigan",0020-01-29,0
"434","Minnesota",0020-01-29,0
"435","Mississippi",0020-01-29,0
"436","Missouri",0020-01-29,0
"437","Montana",0020-01-29,0
"438","Nebraska",0020-01-29,0
"439","Nevada",0020-01-29,0
"440","New Hampshire",0020-01-29,0
"441","New Jersey",0020-01-29,0
"442","New Mexico",0020-01-29,0
"443","New York",0020-01-29,0
"444","North Carolina",0020-01-29,0
"445","North Dakota",0020-01-29,0
"446","Northern Mariana Islands",0020-01-29,0
"447","Ohio",0020-01-29,0
"448","Oklahoma",0020-01-29,0
"449","Oregon",0020-01-29,0
"450","Pennsylvania",0020-01-29,0
"451","Puerto Rico",0020-01-29,0
"452","Rhode Island",0020-01-29,0
"453","South Carolina",0020-01-29,0
"454","South Dakota",0020-01-29,0
"455","Tennessee",0020-01-29,0
"456","Texas",0020-01-29,0
"457","Utah",0020-01-29,0
"458","Vermont",0020-01-29,0
"459","Virgin Islands",0020-01-29,0
"460","Virginia",0020-01-29,0
"461","Washington",0020-01-29,1
"462","West Virginia",0020-01-29,0
"463","Wisconsin",0020-01-29,0
"464","Wyoming",0020-01-29,0
"465","Alabama",0020-01-30,0
"466","Alaska",0020-01-30,0
"467","American Samoa",0020-01-30,0
"468","Arizona",0020-01-30,1
"469","Arkansas",0020-01-30,0
"470","California",0020-01-30,2
"471","Colorado",0020-01-30,0
"472","Connecticut",0020-01-30,0
"473","Delaware",0020-01-30,0
"474","Diamond Princess",0020-01-30,0
"475","District of Columbia",0020-01-30,0
"476","Florida",0020-01-30,0
"477","Georgia",0020-01-30,0
"478","Grand Princess",0020-01-30,0
"479","Guam",0020-01-30,0
"480","Hawaii",0020-01-30,0
"481","Idaho",0020-01-30,0
"482","Illinois",0020-01-30,1
"483","Indiana",0020-01-30,0
"484","Iowa",0020-01-30,0
"485","Kansas",0020-01-30,0
"486","Kentucky",0020-01-30,0
"487","Louisiana",0020-01-30,0
"488","Maine",0020-01-30,0
"489","Maryland",0020-01-30,0
"490","Massachusetts",0020-01-30,0
"491","Michigan",0020-01-30,0
"492","Minnesota",0020-01-30,0
"493","Mississippi",0020-01-30,0
"494","Missouri",0020-01-30,0
"495","Montana",0020-01-30,0
"496","Nebraska",0020-01-30,0
"497","Nevada",0020-01-30,0
"498","New Hampshire",0020-01-30,0
"499","New Jersey",0020-01-30,0
"500","New Mexico",0020-01-30,0
"501","New York",0020-01-30,0
"502","North Carolina",0020-01-30,0
"503","North Dakota",0020-01-30,0
"504","Northern Mariana Islands",0020-01-30,0
