"","new","state","days"
"373",94,"New Hampshire",10
"374",313,"North Carolina",7
"375",1538,"Pennsylvania",5
"376",160,"Rhode Island",9
"377",169,"Tennessee",4
"378",834,"Texas",4
"379",31,"Vermont",12
"380",238,"Virginia",7
"381",129,"Wisconsin",12
"382",217,"Alabama",3
"383",23,"Alaska",10
"384",138,"Arizona",7
"385",246,"Colorado",12
"386",114,"District of Columbia",8
"387",1221,"Florida",4
"388",1508,"Georgia",4
"389",63,"Kansas",8
"390",20,"Maine",5
"391",326,"Maryland",8
"392",83,"Minnesota",11
"393",177,"Mississippi",4
"394",394,"Missouri",1
"395",20,"Montana",10
"396",171,"Nevada",6
"397",337,"North Carolina",8
"398",1726,"Pennsylvania",6
"399",147,"Rhode Island",10
"400",185,"South Carolina",0
"401",337,"Tennessee",5
"402",882,"Texas",5
"403",457,"Virginia",8
"404",159,"Alabama",4
"405",13,"Alaska",11
"406",166,"Arizona",8
"407",229,"District of Columbia",9
"408",911,"Florida",5
"409",1079,"Georgia",5
"410",134,"Kansas",9
"411",18,"Maine",6
"412",1158,"Maryland",9
"413",85,"Minnesota",12
"414",88,"Mississippi",5
"415",79,"Missouri",2
"416",13,"Montana",11
"417",135,"Nevada",7
"418",32,"New Hampshire",12
"419",200,"North Carolina",9
"420",1778,"Pennsylvania",7
"421",221,"Rhode Island",11
"422",224,"Tennessee",6
"423",852,"Texas",6
"424",310,"Virginia",9
"425",375,"Alabama",5
"426",9,"Alaska",12
"427",-18,"Arizona",9
"428",83,"District of Columbia",10
"429",908,"Florida",6
"430",665,"Georgia",6
"431",70,"Kansas",10
"432",23,"Maine",7
"433",656,"Maryland",10
"434",257,"Mississippi",6
"435",223,"Missouri",3
"436",22,"Montana",12
"437",197,"Nevada",8
"438",237,"North Carolina",10
"439",1669,"Pennsylvania",8
"440",277,"Rhode Island",12
"441",376,"South Carolina",2
"442",271,"Tennessee",7
"443",1431,"Texas",7
"444",397,"Virginia",10
"445",244,"Alabama",6
"446",94,"Arizona",10
"447",137,"District of Columbia",11
"448",1167,"Florida",7
"449",919,"Georgia",7
"450",1,"Kansas",11
"451",26,"Maine",8
"452",783,"Maryland",11
"453",209,"Mississippi",7
"454",465,"Missouri",4
"455",266,"Nevada",9
"456",229,"North Carolina",11
"457",1751,"Pennsylvania",9
"458",274,"South Carolina",3
"459",257,"Tennessee",8
"460",897,"Texas",8
"461",467,"Virginia",11
"462",270,"Alabama",7
"463",281,"Arizona",11
"464",118,"District of Columbia",12
"465",963,"Florida",8
"466",674,"Georgia",8
"467",158,"Kansas",12
"468",30,"Maine",9
"469",726,"Maryland",12
"470",173,"Mississippi",8
"471",211,"Missouri",5
"472",-20,"Nevada",10
"473",389,"North Carolina",12
"474",1668,"Pennsylvania",10
"475",144,"South Carolina",4
"476",241,"Tennessee",9
"477",918,"Texas",9
"478",568,"Virginia",12
"479",346,"Alabama",8
"480",149,"Arizona",12
"481",1401,"Florida",9
"482",293,"Georgia",9
"483",17,"Maine",10
"484",139,"Mississippi",9
"485",161,"Missouri",6
"486",134,"Nevada",11
"487",1219,"Pennsylvania",11
"488",109,"South Carolina",5
"489",376,"Tennessee",10
"490",654,"Texas",10
"491",171,"Alabama",9
"492",1124,"Florida",10
"493",863,"Georgia",10
"494",65,"Maine",11
"495",161,"Mississippi",10
"496",246,"Missouri",7
"497",154,"Nevada",12
"498",1354,"Pennsylvania",12
"499",71,"South Carolina",6
"500",102,"Tennessee",11
"501",598,"Texas",11
"502",219,"Alabama",10
"503",609,"Florida",11
"504",1263,"Georgia",11
"505",37,"Maine",12
"506",145,"Mississippi",11
"507",231,"Missouri",8
"508",162,"South Carolina",7
"509",217,"Tennessee",12
"510",731,"Texas",12
"511",122,"Alabama",11
"512",883,"Florida",12
"513",409,"Georgia",12
"514",273,"Mississippi",12
"515",45,"Missouri",9
"516",103,"South Carolina",8
"517",270,"Alabama",12
"518",383,"Missouri",10
"519",275,"South Carolina",9
"520",197,"Missouri",11
"521",168,"South Carolina",10
"522",208,"Missouri",12
"523",149,"South Carolina",11
"524",129,"South Carolina",12
