"","days","state","new"
"368",8,"Missouri",231
"369",8,"South Carolina",103
"370",9,"California",438
"371",9,"Illinois",460
"372",9,"New Jersey",3250
"373",9,"New York",9170
"374",9,"Connecticut",429
"375",9,"Louisiana",1187
"376",9,"Ohio",348
"377",9,"Oregon",46
"378",9,"Washington",176
"379",9,"West Virginia",29
"380",9,"Delaware",25
"381",9,"Michigan",1476
"382",9,"New Mexico",48
"383",9,"Hawaii",63
"384",9,"Idaho",115
"385",9,"Indiana",399
"386",9,"Vermont",51
"387",9,"Wisconsin",264
"388",9,"Colorado",446
"389",9,"Minnesota",70
"390",9,"New Hampshire",81
"391",9,"Alaska",5
"392",9,"Montana",13
"393",9,"Rhode Island",160
"394",9,"District of Columbia",229
"395",9,"Kansas",134
"396",9,"Maryland",1158
"397",9,"North Carolina",200
"398",9,"Virginia",310
"399",9,"Arizona",0
"400",9,"Nevada",266
"401",9,"Pennsylvania",1751
"402",9,"Maine",30
"403",9,"Tennessee",241
"404",9,"Texas",918
"405",9,"Florida",1401
"406",9,"Georgia",293
"407",9,"Mississippi",139
"408",9,"Alabama",171
"409",9,"Missouri",45
"410",9,"South Carolina",275
"411",10,"California",757
"412",10,"Illinois",938
"413",10,"New Jersey",2060
"414",10,"New York",8115
"415",10,"Connecticut",267
"416",10,"Louisiana",2725
"417",10,"Ohio",354
"418",10,"Oregon",90
"419",10,"Washington",781
"420",10,"West Virginia",25
"421",10,"Delaware",57
"422",10,"Michigan",1953
"423",10,"New Mexico",146
"424",10,"Hawaii",32
"425",10,"Idaho",131
"426",10,"Indiana",516
"427",10,"Vermont",72
"428",10,"Wisconsin",18
"429",10,"Colorado",762
"430",10,"Minnesota",51
"431",10,"New Hampshire",94
"432",10,"Alaska",23
"433",10,"Montana",20
"434",10,"Rhode Island",147
"435",10,"District of Columbia",83
"436",10,"Kansas",70
"437",10,"Maryland",656
"438",10,"North Carolina",237
"439",10,"Virginia",397
"440",10,"Arizona",94
"441",10,"Nevada",0
"442",10,"Pennsylvania",1668
"443",10,"Maine",17
"444",10,"Tennessee",376
"445",10,"Texas",654
"446",10,"Florida",1124
"447",10,"Georgia",863
"448",10,"Mississippi",161
"449",10,"Alabama",219
"450",10,"Missouri",383
"451",10,"South Carolina",168
"452",11,"California",1286
"453",11,"Illinois",986
"454",11,"New Jersey",3559
"455",11,"New York",8558
"456",11,"Connecticut",1090
"457",11,"Louisiana",1148
"458",11,"Ohio",411
"459",11,"Oregon",73
"460",11,"Washington",457
"461",11,"West Virginia",21
"462",11,"Delaware",143
"463",11,"Michigan",1481
"464",11,"New Mexico",0
"465",11,"Hawaii",20
"466",11,"Idaho",56
"467",11,"Indiana",458
"468",11,"Vermont",51
"469",11,"Wisconsin",290
"470",11,"Colorado",233
"471",11,"Minnesota",83
"472",11,"New Hampshire",0
"473",11,"Alaska",13
"474",11,"Montana",13
"475",11,"Rhode Island",221
"476",11,"District of Columbia",137
"477",11,"Kansas",1
"478",11,"Maryland",783
"479",11,"North Carolina",229
"480",11,"Virginia",467
"481",11,"Arizona",281
"482",11,"Nevada",134
"483",11,"Pennsylvania",1219
"484",11,"Maine",65
"485",11,"Tennessee",102
"486",11,"Texas",598
"487",11,"Florida",609
"488",11,"Georgia",1263
"489",11,"Mississippi",145
"490",11,"Alabama",122
"491",11,"Missouri",197
"492",11,"South Carolina",149
"493",12,"California",1072
"494",12,"Illinois",715
"495",12,"New Jersey",3335
"496",12,"New York",10481
"497",12,"Connecticut",362
"498",12,"Louisiana",2199
"499",12,"Ohio",427
"500",12,"Oregon",0
"501",12,"Washington",401
"502",12,"West Virginia",45
"503",12,"Delaware",80
"504",12,"Michigan",1493
"505",12,"New Mexico",136
"506",12,"Hawaii",16
"507",12,"Idaho",23
"508",12,"Indiana",545
"509",12,"Vermont",31
"510",12,"Wisconsin",129
"511",12,"Colorado",246
"512",12,"Minnesota",85
"513",12,"New Hampshire",32
"514",12,"Alaska",9
"515",12,"Montana",22
"516",12,"Rhode Island",277
"517",12,"District of Columbia",118
"518",12,"Kansas",158
"519",12,"Maryland",726
"520",12,"North Carolina",389
"521",12,"Virginia",568
"522",12,"Arizona",149
"523",12,"Nevada",154
"524",12,"Pennsylvania",1354
"525",12,"Maine",37
"526",12,"Tennessee",217
"527",12,"Texas",731
"528",12,"Florida",883
"529",12,"Georgia",409
"530",12,"Mississippi",273
"531",12,"Alabama",270
"532",12,"Missouri",208
"533",12,"South Carolina",129
"534",13,"California",1189
"535",13,"Illinois",1209
"536",13,"New Jersey",4305
"537",13,"New York",10846
"538",13,"Connecticut",399
"539",13,"Louisiana",514
"540",13,"Ohio",304
"541",13,"Oregon",169
"542",13,"Washington",578
"543",13,"West Virginia",42
"544",13,"Delaware",110
"545",13,"Michigan",1503
"546",13,"New Mexico",87
"547",13,"Hawaii",23
"548",13,"Idaho",69
"549",13,"Indiana",554
"550",13,"Vermont",32
"551",13,"Wisconsin",129
"552",13,"Colorado",226
"553",13,"Minnesota",86
"554",13,"New Hampshire",72
"555",13,"Alaska",11
"556",13,"Montana",11
"557",13,"Rhode Island",0
"558",13,"District of Columbia",97
"559",13,"Kansas",69
"560",13,"Maryland",531
"561",13,"North Carolina",216
"562",13,"Virginia",197
"563",13,"Arizona",163
"564",13,"Nevada",144
"565",13,"Pennsylvania",1173
"566",13,"Maine",35
"567",13,"Tennessee",0
"568",13,"Texas",901
"569",13,"Florida",832
"570",13,"Georgia",682
"571",13,"Mississippi",264
"572",13,"Alabama",226
"573",13,"Missouri",164
"574",13,"South Carolina",69
"575",14,"California",1374
"576",14,"Illinois",1453
"577",14,"New Jersey",4229
"578",14,"New York",9327
"579",14,"Connecticut",1231
"580",14,"Louisiana",1857
"581",14,"Ohio",410
"582",14,"Oregon",0
"583",14,"Washington",486
"584",14,"West Virginia",21
"585",14,"Delaware",145
"586",14,"Michigan",1749
"587",14,"New Mexico",119
"588",14,"Hawaii",0
"589",14,"Idaho",40
"590",14,"Indiana",433
"591",14,"Vermont",30
"592",14,"Wisconsin",132
"593",14,"Colorado",0
"594",14,"Minnesota",96
"595",14,"New Hampshire",0
"596",14,"Alaska",11
"597",14,"Montana",12
"598",14,"Rhode Island",622
"599",14,"District of Columbia",80
"600",14,"Kansas",46
"601",14,"Maryland",711
"602",14,"North Carolina",316
"603",14,"Virginia",473
"604",14,"Arizona",104
"605",14,"Nevada",77
"606",14,"Pennsylvania",1288
"607",14,"Maine",26
"608",14,"Tennessee",548
"609",14,"Texas",969
"610",14,"Florida",1416
"611",14,"Georgia",1525
"612",14,"Mississippi",169
"613",14,"Alabama",141
"614",14,"Missouri",147
"615",14,"South Carolina",0
"616",15,"California",1231
"617",15,"Illinois",902
"618",15,"New Jersey",3381
"619",15,"New York",8655
"620",15,"Connecticut",875
"621",15,"Louisiana",1417
"622",15,"Ohio",329
"623",15,"Oregon",64
"624",15,"Washington",381
"625",15,"West Virginia",67
"626",15,"Delaware",188
"627",15,"Michigan",1376
"628",15,"New Mexico",26
"629",15,"Hawaii",32
"630",15,"Idaho",22
"631",15,"Indiana",408
"632",15,"Vermont",23
"633",15,"Wisconsin",176
"634",15,"Colorado",547
"635",15,"Minnesota",91
"636",15,"New Hampshire",66
"637",15,"Alaska",15
"638",15,"Montana",10
"639",15,"Rhode Island",316
"640",15,"District of Columbia",103
"641",15,"Kansas",51
"642",15,"Maryland",536
"643",15,"North Carolina",227
"644",15,"Virginia",435
"645",15,"Arizona",155
"646",15,"Nevada",3
"647",15,"Pennsylvania",1505
"648",15,"Maine",31
"649",15,"Tennessee",0
"650",15,"Texas",973
"651",15,"Florida",733
"652",15,"Georgia",475
"653",15,"Mississippi",181
"654",15,"Alabama",176
"655",15,"Missouri",176
"656",16,"California",833
"657",16,"Illinois",1003
"658",16,"New Jersey",3585
"659",16,"New York",8060
"660",16,"Connecticut",0
"661",16,"Louisiana",746
"662",16,"Ohio",366
"663",16,"Oregon",49
"664",16,"Washington",584
"665",16,"West Virginia",71
"666",16,"Delaware",93
"667",16,"Michigan",1158
"668",16,"New Mexico",0
"669",16,"Hawaii",0
"670",16,"Idaho",122
"671",16,"Indiana",556
"672",16,"Vermont",51
"673",16,"Wisconsin",182
"674",16,"Colorado",311
"675",16,"Minnesota",194
"676",16,"New Hampshire",44
"677",16,"Alaska",5
"678",16,"Montana",7
"679",16,"Rhode Island",0
"680",16,"District of Columbia",139
"681",16,"Kansas",63
"682",16,"Maryland",560
"683",16,"North Carolina",227
"684",16,"Virginia",318
"685",16,"Arizona",273
"686",16,"Nevada",310
"687",16,"Pennsylvania",1630
"688",16,"Maine",20
"689",16,"Tennessee",326
"690",16,"Texas",855
"691",16,"Florida",822
"692",16,"Georgia",632
"693",16,"Mississippi",300
"694",16,"Alabama",191
"695",17,"California",2197
"696",17,"Illinois",9
"697",17,"New Jersey",3326
"698",17,"New York",11186
"699",17,"Connecticut",2003
"700",17,"Louisiana",1253
