"","state","date","confirmed"
"433","Michigan","1/29/20",0
"434","Minnesota","1/29/20",0
"435","Mississippi","1/29/20",0
"436","Missouri","1/29/20",0
"437","Montana","1/29/20",0
"438","Nebraska","1/29/20",0
"439","Nevada","1/29/20",0
"440","New Hampshire","1/29/20",0
"441","New Jersey","1/29/20",0
"442","New Mexico","1/29/20",0
"443","New York","1/29/20",0
"444","North Carolina","1/29/20",0
"445","North Dakota","1/29/20",0
"446","Northern Mariana Islands","1/29/20",0
"447","Ohio","1/29/20",0
"448","Oklahoma","1/29/20",0
"449","Oregon","1/29/20",0
"450","Pennsylvania","1/29/20",0
"451","Puerto Rico","1/29/20",0
"452","Rhode Island","1/29/20",0
"453","South Carolina","1/29/20",0
"454","South Dakota","1/29/20",0
"455","Tennessee","1/29/20",0
"456","Texas","1/29/20",0
"457","Utah","1/29/20",0
"458","Vermont","1/29/20",0
"459","Virgin Islands","1/29/20",0
"460","Virginia","1/29/20",0
"461","Washington","1/29/20",1
"462","West Virginia","1/29/20",0
"463","Wisconsin","1/29/20",0
"464","Wyoming","1/29/20",0
"465","Alabama","1/30/20",0
"466","Alaska","1/30/20",0
"467","American Samoa","1/30/20",0
"468","Arizona","1/30/20",1
"469","Arkansas","1/30/20",0
"470","California","1/30/20",2
"471","Colorado","1/30/20",0
"472","Connecticut","1/30/20",0
"473","Delaware","1/30/20",0
"474","Diamond Princess","1/30/20",0
"475","District of Columbia","1/30/20",0
"476","Florida","1/30/20",0
"477","Georgia","1/30/20",0
"478","Grand Princess","1/30/20",0
"479","Guam","1/30/20",0
"480","Hawaii","1/30/20",0
"481","Idaho","1/30/20",0
"482","Illinois","1/30/20",1
"483","Indiana","1/30/20",0
"484","Iowa","1/30/20",0
"485","Kansas","1/30/20",0
"486","Kentucky","1/30/20",0
"487","Louisiana","1/30/20",0
"488","Maine","1/30/20",0
"489","Maryland","1/30/20",0
"490","Massachusetts","1/30/20",0
"491","Michigan","1/30/20",0
"492","Minnesota","1/30/20",0
"493","Mississippi","1/30/20",0
"494","Missouri","1/30/20",0
"495","Montana","1/30/20",0
"496","Nebraska","1/30/20",0
"497","Nevada","1/30/20",0
"498","New Hampshire","1/30/20",0
"499","New Jersey","1/30/20",0
"500","New Mexico","1/30/20",0
"501","New York","1/30/20",0
"502","North Carolina","1/30/20",0
"503","North Dakota","1/30/20",0
"504","Northern Mariana Islands","1/30/20",0
"505","Ohio","1/30/20",0
"506","Oklahoma","1/30/20",0
"507","Oregon","1/30/20",0
"508","Pennsylvania","1/30/20",0
"509","Puerto Rico","1/30/20",0
"510","Rhode Island","1/30/20",0
"511","South Carolina","1/30/20",0
"512","South Dakota","1/30/20",0
"513","Tennessee","1/30/20",0
"514","Texas","1/30/20",0
"515","Utah","1/30/20",0
"516","Vermont","1/30/20",0
"517","Virgin Islands","1/30/20",0
"518","Virginia","1/30/20",0
"519","Washington","1/30/20",1
"520","West Virginia","1/30/20",0
"521","Wisconsin","1/30/20",0
"522","Wyoming","1/30/20",0
"523","Alabama","1/31/20",0
"524","Alaska","1/31/20",0
"525","American Samoa","1/31/20",0
"526","Arizona","1/31/20",1
"527","Arkansas","1/31/20",0
"528","California","1/31/20",3
"529","Colorado","1/31/20",0
"530","Connecticut","1/31/20",0
"531","Delaware","1/31/20",0
"532","Diamond Princess","1/31/20",0
"533","District of Columbia","1/31/20",0
"534","Florida","1/31/20",0
"535","Georgia","1/31/20",0
"536","Grand Princess","1/31/20",0
"537","Guam","1/31/20",0
"538","Hawaii","1/31/20",0
"539","Idaho","1/31/20",0
"540","Illinois","1/31/20",2
"541","Indiana","1/31/20",0
"542","Iowa","1/31/20",0
"543","Kansas","1/31/20",0
"544","Kentucky","1/31/20",0
"545","Louisiana","1/31/20",0
"546","Maine","1/31/20",0
"547","Maryland","1/31/20",0
"548","Massachusetts","1/31/20",0
"549","Michigan","1/31/20",0
"550","Minnesota","1/31/20",0
"551","Mississippi","1/31/20",0
"552","Missouri","1/31/20",0
"553","Montana","1/31/20",0
"554","Nebraska","1/31/20",0
"555","Nevada","1/31/20",0
"556","New Hampshire","1/31/20",0
"557","New Jersey","1/31/20",0
"558","New Mexico","1/31/20",0
"559","New York","1/31/20",0
"560","North Carolina","1/31/20",0
"561","North Dakota","1/31/20",0
"562","Northern Mariana Islands","1/31/20",0
"563","Ohio","1/31/20",0
"564","Oklahoma","1/31/20",0
"565","Oregon","1/31/20",0
"566","Pennsylvania","1/31/20",0
"567","Puerto Rico","1/31/20",0
"568","Rhode Island","1/31/20",0
"569","South Carolina","1/31/20",0
"570","South Dakota","1/31/20",0
"571","Tennessee","1/31/20",0
"572","Texas","1/31/20",0
"573","Utah","1/31/20",0
"574","Vermont","1/31/20",0
"575","Virgin Islands","1/31/20",0
"576","Virginia","1/31/20",0
"577","Washington","1/31/20",1
"578","West Virginia","1/31/20",0
"579","Wisconsin","1/31/20",0
"580","Wyoming","1/31/20",0
"581","Alabama","2/1/20",0
"582","Alaska","2/1/20",0
"583","American Samoa","2/1/20",0
"584","Arizona","2/1/20",1
"585","Arkansas","2/1/20",0
"586","California","2/1/20",3
"587","Colorado","2/1/20",0
"588","Connecticut","2/1/20",0
"589","Delaware","2/1/20",0
"590","Diamond Princess","2/1/20",0
"591","District of Columbia","2/1/20",0
"592","Florida","2/1/20",0
"593","Georgia","2/1/20",0
"594","Grand Princess","2/1/20",0
"595","Guam","2/1/20",0
"596","Hawaii","2/1/20",0
"597","Idaho","2/1/20",0
"598","Illinois","2/1/20",2
"599","Indiana","2/1/20",0
"600","Iowa","2/1/20",0
"601","Kansas","2/1/20",0
"602","Kentucky","2/1/20",0
"603","Louisiana","2/1/20",0
"604","Maine","2/1/20",0
"605","Maryland","2/1/20",0
"606","Massachusetts","2/1/20",1
"607","Michigan","2/1/20",0
"608","Minnesota","2/1/20",0
"609","Mississippi","2/1/20",0
"610","Missouri","2/1/20",0
"611","Montana","2/1/20",0
"612","Nebraska","2/1/20",0
"613","Nevada","2/1/20",0
"614","New Hampshire","2/1/20",0
"615","New Jersey","2/1/20",0
"616","New Mexico","2/1/20",0
"617","New York","2/1/20",0
"618","North Carolina","2/1/20",0
"619","North Dakota","2/1/20",0
"620","Northern Mariana Islands","2/1/20",0
"621","Ohio","2/1/20",0
"622","Oklahoma","2/1/20",0
"623","Oregon","2/1/20",0
"624","Pennsylvania","2/1/20",0
"625","Puerto Rico","2/1/20",0
"626","Rhode Island","2/1/20",0
"627","South Carolina","2/1/20",0
"628","South Dakota","2/1/20",0
"629","Tennessee","2/1/20",0
"630","Texas","2/1/20",0
"631","Utah","2/1/20",0
"632","Vermont","2/1/20",0
"633","Virgin Islands","2/1/20",0
"634","Virginia","2/1/20",0
"635","Washington","2/1/20",1
"636","West Virginia","2/1/20",0
"637","Wisconsin","2/1/20",0
"638","Wyoming","2/1/20",0
"639","Alabama","2/2/20",0
"640","Alaska","2/2/20",0
"641","American Samoa","2/2/20",0
"642","Arizona","2/2/20",1
"643","Arkansas","2/2/20",0
"644","California","2/2/20",3
"645","Colorado","2/2/20",0
"646","Connecticut","2/2/20",0
"647","Delaware","2/2/20",0
"648","Diamond Princess","2/2/20",0
"649","District of Columbia","2/2/20",0
"650","Florida","2/2/20",0
"651","Georgia","2/2/20",0
"652","Grand Princess","2/2/20",0
"653","Guam","2/2/20",0
"654","Hawaii","2/2/20",0
"655","Idaho","2/2/20",0
"656","Illinois","2/2/20",2
"657","Indiana","2/2/20",0
"658","Iowa","2/2/20",0
"659","Kansas","2/2/20",0
"660","Kentucky","2/2/20",0
"661","Louisiana","2/2/20",0
"662","Maine","2/2/20",0
"663","Maryland","2/2/20",0
"664","Massachusetts","2/2/20",1
"665","Michigan","2/2/20",0
"666","Minnesota","2/2/20",0
"667","Mississippi","2/2/20",0
"668","Missouri","2/2/20",0
"669","Montana","2/2/20",0
"670","Nebraska","2/2/20",0
"671","Nevada","2/2/20",0
"672","New Hampshire","2/2/20",0
"673","New Jersey","2/2/20",0
"674","New Mexico","2/2/20",0
"675","New York","2/2/20",0
"676","North Carolina","2/2/20",0
"677","North Dakota","2/2/20",0
"678","Northern Mariana Islands","2/2/20",0
"679","Ohio","2/2/20",0
"680","Oklahoma","2/2/20",0
"681","Oregon","2/2/20",0
"682","Pennsylvania","2/2/20",0
"683","Puerto Rico","2/2/20",0
"684","Rhode Island","2/2/20",0
"685","South Carolina","2/2/20",0
"686","South Dakota","2/2/20",0
"687","Tennessee","2/2/20",0
"688","Texas","2/2/20",0
"689","Utah","2/2/20",0
"690","Vermont","2/2/20",0
"691","Virgin Islands","2/2/20",0
"692","Virginia","2/2/20",0
"693","Washington","2/2/20",1
"694","West Virginia","2/2/20",0
"695","Wisconsin","2/2/20",0
"696","Wyoming","2/2/20",0
"697","Alabama","2/3/20",0
"698","Alaska","2/3/20",0
"699","American Samoa","2/3/20",0
"700","Arizona","2/3/20",1
"701","Arkansas","2/3/20",0
"702","California","2/3/20",6
"703","Colorado","2/3/20",0
"704","Connecticut","2/3/20",0
"705","Delaware","2/3/20",0
"706","Diamond Princess","2/3/20",0
"707","District of Columbia","2/3/20",0
"708","Florida","2/3/20",0
"709","Georgia","2/3/20",0
"710","Grand Princess","2/3/20",0
"711","Guam","2/3/20",0
"712","Hawaii","2/3/20",0
"713","Idaho","2/3/20",0
"714","Illinois","2/3/20",2
"715","Indiana","2/3/20",0
"716","Iowa","2/3/20",0
"717","Kansas","2/3/20",0
"718","Kentucky","2/3/20",0
"719","Louisiana","2/3/20",0
"720","Maine","2/3/20",0
"721","Maryland","2/3/20",0
"722","Massachusetts","2/3/20",1
"723","Michigan","2/3/20",0
"724","Minnesota","2/3/20",0
"725","Mississippi","2/3/20",0
"726","Missouri","2/3/20",0
"727","Montana","2/3/20",0
"728","Nebraska","2/3/20",0
"729","Nevada","2/3/20",0
"730","New Hampshire","2/3/20",0
"731","New Jersey","2/3/20",0
"732","New Mexico","2/3/20",0
"733","New York","2/3/20",0
"734","North Carolina","2/3/20",0
"735","North Dakota","2/3/20",0
"736","Northern Mariana Islands","2/3/20",0
"737","Ohio","2/3/20",0
"738","Oklahoma","2/3/20",0
"739","Oregon","2/3/20",0
"740","Pennsylvania","2/3/20",0
"741","Puerto Rico","2/3/20",0
"742","Rhode Island","2/3/20",0
"743","South Carolina","2/3/20",0
"744","South Dakota","2/3/20",0
"745","Tennessee","2/3/20",0
"746","Texas","2/3/20",0
"747","Utah","2/3/20",0
"748","Vermont","2/3/20",0
"749","Virgin Islands","2/3/20",0
"750","Virginia","2/3/20",0
"751","Washington","2/3/20",1
"752","West Virginia","2/3/20",0
"753","Wisconsin","2/3/20",0
"754","Wyoming","2/3/20",0
"755","Alabama","2/4/20",0
"756","Alaska","2/4/20",0
"757","American Samoa","2/4/20",0
"758","Arizona","2/4/20",1
"759","Arkansas","2/4/20",0
"760","California","2/4/20",6
"761","Colorado","2/4/20",0
"762","Connecticut","2/4/20",0
"763","Delaware","2/4/20",0
"764","Diamond Princess","2/4/20",0
"765","District of Columbia","2/4/20",0
"766","Florida","2/4/20",0
"767","Georgia","2/4/20",0
"768","Grand Princess","2/4/20",0
"769","Guam","2/4/20",0
"770","Hawaii","2/4/20",0
"771","Idaho","2/4/20",0
"772","Illinois","2/4/20",2
"773","Indiana","2/4/20",0
"774","Iowa","2/4/20",0
"775","Kansas","2/4/20",0
"776","Kentucky","2/4/20",0
"777","Louisiana","2/4/20",0
"778","Maine","2/4/20",0
"779","Maryland","2/4/20",0
"780","Massachusetts","2/4/20",1
"781","Michigan","2/4/20",0
"782","Minnesota","2/4/20",0
"783","Mississippi","2/4/20",0
"784","Missouri","2/4/20",0
"785","Montana","2/4/20",0
